,text,label,cleaned
0,"To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",3,to fair ofst report concern lack enforc less focuss practic particular faith
1,"While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools still that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",3,while stori present islam issu ofst report refer countless faith school still still illeg maintain gender segreg guess cross faith practic exclus islam faith school
2,"The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",0,the quot report refer countless faith school illeg maintain gender segreg isn accur frame matter lack resourc enforc rather present stori islam issu
3,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",0,gender segreg faith school clearli neg hardli exclus islam school i i attend mix class regard normal the issu realli allow faith base educ need effect mechan uphold standard legal requir
4,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",4,we need work togeth erad cse individu problem come religion bias media attempt scapegoat blind whole truth
5,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,2,groom gang like rochdal huddersfield right convict doe look like polic collus
6,No they are not - prove this?,3,no prove
7,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",0,the cover i rememb cathol church rememb action individu reflect whole
8,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",3,good job polic effect catch prosecut non muslim sex offend protect victim oh wait
9,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,3,the reason gang exist first place institut like bbc church shield
10,The only traitors are the conspiracy theorists who spread this kind of misinformation.,2,the traitor conspiraci theorist spread kind misinform
11,"The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",0,the cover happen media posit stori muslim extremist action one ever highlight
12,Is this true? Where is your source?,0,is true where sourc
13,The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,2,the bbc also neglect report mani violent terrorist far right extremist islamophob crime what point
14,"Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",4,mate media constantli bias muslim tri make enemi what hardli ever see mani posit stori
15,I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,0,i thought stop export convict crimin last centuri now advoc export peopl wihtout trial convict
16,I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,3,i think govern good understand deport member public leav type decis
18,"In fact, the government deports those criminals back to their countries.",2,in fact govern deport crimin back countri
19,"What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",0,what happen good old british valu stuff like toler respect rule law suggest sound like mob rule vigilant action peopl run around burn torch
23,An entire faith? Really? Can you not see how ignorant this is?,0,an entir faith realli can see ignor
24,Are you blaming all community for the action of a few? Doesn't seem very fair does it?,3,are blame commun action doesn seem fair
25,"Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",2,could mind languag you insult million peopl muslim isi war crimin equal muslim
27,Positive news stories*.,1,posit news stori
28,"Surely it is our 'actions' that make us criminals, not whichever faith we follow, whether that be by choice or tradition or culture?",3,sure action make us crimin whichev faith follow whether choic tradit cultur
29,This is not true. How can you say this about an entire faith?,0,thi true how say entir faith
30,Muslims are also average and decent British citizens? Repatriate?,3,muslim also averag decent british citizen repatri
31,Saying that all people of certain religion are violent criminals does not make sense at all.,2,say peopl certain religion violent crimin make sens
32,"Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.",2,can i suggest deport million peopl larg proport born uk reflect valu way i understand
33,"Isis is an extreme of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemn the action of ISIS.",3,isi extrem islam repres muslim belief action inde islam condemn action isi
34,Saying that all Muslims are criminals is just wrong. They also do share British values.,0,say muslim crimin wrong they also share british valu
35,"I agree that ISIS is an evil aberration, but to extend this to include up to 3 million people just in the UK is just plain silly.",3,i agre isi evil aberr extend includ million peopl uk plain silli
36,"Actually, the principle of Muslims is to love and respect everyone. This is the same as our values. If you talk to a Muslim, you will find out that they are kind and friendly people too.",3,actual principl muslim love respect everyon thi valu if talk muslim find kind friendli peopl
37,"This is just false news! Islam, Christianity and Judaism have the same beginnings and the Koran give special respect to the other two.",3,thi fals news islam christian judaism begin koran give special respect two
38,"Whilst a small number of Muslims were involved in this, the vast majority stand against extremism (link to article about the Muslim anti-extremism march in Cologne)",3,whilst small number muslim involv vast major stand extrem link articl muslim anti extrem march cologn
39,[find positive and up to date example of Muslim people contributing to their community.] Doesn't really look like it to me.,3,find posit date exampl muslim peopl contribut commun doesn realli look like
40,Kkk anyone? Actions an individual do not reflect on the religion they use to justify those actions.,0,kkk anyon action individu reflect religion use justifi action
41,"Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago.",3,googl imag search provid factual inform imag possibl ie provid context ie small faction condemn main stream islam happen year ago
42,Source check?,1,sourc check
43,There are a hundred similar images of Christian including those in the KKK standing next to their victims who used the Bible as a justification. Of course none of us believe they represent all Christians.,3,there hundr similar imag christian includ kkk stand next victim use bibl justif of cours none us believ repres christian
44,"[quote from Quran about peace and love.] When the Quran says nothing about harming people who do not believe in Islam, how is this a reflection on all Muslims.?",3,quot quran peac love when quran say noth harm peopl believ islam reflect muslim
46,"On a brighter note, a counter-terrorism protest held by more than 10,000 Muslims advocated peace and people held posters denouncing terror.",2,on brighter note counter terror protest held muslim advoc peac peopl held poster denounc terror
47,Islamophobia and prejudice is making a judgement that may or may not be true of one person but then assuming it is true of all people like that .,0,islamophobia prejudic make judgement may may true one person assum true peopl like
48,"Do an image search for the image used, try to find it is source. Either you can demonstrate that the image has been misappropriated or you can talk about how individuals have always used religion to justify their actions, the problem is with the individual not the religion.",0,do imag search imag use tri find sourc either demonstr imag misappropri talk individu alway use religion justifi action problem individu religion
49,"The image was photoshopped, original here. Muslims have never wanted to kill us or anyone, this image in fact demonstrates that there is no evidence for it so people have to make it up.",2,the imag photoshop origin muslim never want kill us anyon imag fact demonstr evid peopl make
50,"Even if true, how does hatred counter hatred?",2,even true hatr counter hatr
51,Islam is a religion of peace and tolerance [insert quote from Koran].,0,islam religion peac toler insert quot koran
52,You seem to have a new superpower? Ascertaining ethnicity and faith based on a person's last name?,0,you seem new superpow ascertain ethnic faith base person last name
53,"They don't, but I wonder why only the crimes with 'White British Non-Muslim' victims are the ones widely circulated?",1,they i wonder crime white british non muslim victim one wide circul
54,Criminals are checking on a person's faith before the commission of their crimes? Seems a lot of bother to me.,0,crimin check person faith commiss crime seem lot bother
55,Isn't this a 'Have You Stopped Beating Your Wife?' question.?,3,isn have you stop beat your wife question
56,"Tosh! Criminals are 'equal opportunists', targetting the elderly and vulnerable regardless of their faith or ethnicity.",0,tosh crimin equal opportunist target elderli vulner regardless faith ethnic
57,All hatred is wrong.,4,all hatr wrong
59,"No, the Qur'an does not instruct killing in any part of it. Seriously, check your facts.",0,no qur instruct kill part serious check fact
60,"No, it doesn't.",1,no
61,"Slavery long predated Islam, they inherited slavery and proceeded to improve conditions. Way ahead of the rest of the world.",3,slaveri long predat islam inherit slaveri proceed improv condit way ahead rest world
62,But the British turned it into an art form to rape and pillage across the world.,2,but british turn art form rape pillag across world
63,"That is inaccurate, do your research! Slave trade had been there for ages before all over the world.",0,that inaccur research slave trade age world
64,Slavery has been rampant in early societies of all kinds. I am sure the Romans did not take inspiration for their slave trade directly from Muslims.,2,slaveri rampant earli societi kind i sure roman take inspir slave trade directli muslim
65,Slavery was widely dominant before Islam. Muslims actually improved the conditions of slaves and stressed the importance of compassion and kindness.,3,slaveri wide domin islam muslim actual improv condit slave stress import compass kind
66,"That is misleading! The Atlantic slave trade was mostly linked to Christians, but no one calls it Christian slave trade.",4,that mislead the atlant slave trade mostli link christian one call christian slave trade
67,"No, an entire faith did not invent the slave trade.",0,no entir faith invent slave trade
68,Non-muslims are the ones who used slavery to build the foundations of western society and relied on it to advance capitalism. What is your point?,2,non muslim one use slaveri build foundat western societi reli advanc capit what point
69,Christian Europeans are the ones that then expanded the slave trade to an industrial scale and instrumentalised exploitation as a key component of our economy.,0,christian european one expand slave trade industri scale instrumentalis exploit key compon economi
70,This is not true. How can you say this about an entire faith? This is just hatred.,0,thi true how say entir faith thi hatr
71,"That is a misunderstanding. On the contrary, Islam is a peaceful religion and condemns any crimes or violences to anyone.",0,that misunderstand on contrari islam peac religion condemn crime violenc anyon
72,I know many Muslims who are wonderful people and have done nothing wrong to this world. You should not insult people based on their religion.,0,i know mani muslim wonder peopl done noth wrong world you insult peopl base religion
73,"People have the right to belong to any religion they want. If you do not like their religion, it does not mean that they are bad!",0,peopl right belong religion want if like religion mean bad
74,These are gross crimes that are surely common to people who may profess or be ascribed adherence to a range of faiths.although viewed from 'the inside' unlikley to be percieved as 'devout'. More about behaviours than matters of doctrine.,0,these gross crime sure common peopl may profess ascrib adher rang faith although view insid unlikley perciev devout more behaviour matter doctrin
76,This is not true. How can you say that about 1.6 billion people?,0,thi true how say billion peopl
77,Biased media coverage over-represents Muslims as committing these crimes. How much media attention does the Vatican's child sex abuse scandal got in comparison?,3,bias media coverag repres muslim commit crime how much media attent vatican child sex abus scandal got comparison
78,"The demonisation of the Muslim community is the real problem here. Comments like this are the catalysts that drive chasms across our communities, not Islam.",3,the demonis muslim commun real problem comment like catalyst drive chasm across commun islam
79,"Fake news and fear mongering does not help anyone, when you are ready for a rational discussion on stopping child rape, slavery or murders get in touch.",2,fake news fear monger help anyon readi ration discuss stop child rape slaveri murder get touch
80,"Islam, Christianity and Judaism are all closely linked with love and peace at their heart, together we can end child rape, slavery and murder.",2,islam christian judaism close link love peac heart togeth end child rape slaveri murder
81,[link to Muslim group cleaning Newcastle streets after New Year's celebrations] really?,3,link muslim group clean newcastl street new year celebr realli
82,"And yet most child rape, enslavement and murders are carried out by white people if you are serious about this stop scapegoating and let's deal with the real problem.",3,and yet child rape enslav murder carri white peopl seriou stop scapego let deal real problem
83,"Islam has also given our world many benefits, such as mathematics and architecture. It is impossible to take it out of our life!",0,islam also given world mani benefit mathemat architectur it imposs take life
84,"Rape, enslavement, and murder are all common occurrences in the Bible. Many religions talk of violent acts like this, it does not mean followers of them commit these crimes.",4,rape enslav murder common occurr bibl mani religion talk violent act like mean follow commit crime
85,The myth that Muslims are dangerous and violent is a product of our vilifying media. Don't believe everything you read.,2,the myth muslim danger violent product vilifi media don believ everyth read
86,I think you are confusing Islam with the crusades.,1,i think confus islam crusad
87,You are generalizing too much. Christian people are also known to rape children and murder people! But we know that such cases are exceptions and not a rule. I think the same is true about Muslims.,2,you gener much christian peopl also known rape children murder peopl but know case except rule i think true muslim
88,"I thought 'our way of life' was about tolerance, universal human rights and freedoms, including the freedom of worship?",3,i thought way life toler univers human right freedom includ freedom worship
89,"There are criminals, who are from UK, raping children and murdering people. Maybe it better we should first focus on these cases and think how we could decrease the number of crimes.",3,there crimin uk rape children murder peopl mayb better first focu case think could decreas number crime
91,"Let's have a crusade. Except did not the last one lead to child rape, enslavement and murder?",4,let crusad except last one lead child rape enslav murder
92,"Muslims aren't rapists or murderers, in fact many Muslims are doing good things to fight the extremists falsely appropriating Islam: https://5pillarsuk.com/2019/01/03/muslim-woman-praised-for-aiding-victims-of-new-years-eve-terror-attack-in-manchester/.",0,muslim rapist murder fact mani muslim good thing fight extremist fals appropri islam http pillarsuk com muslim woman prais aid victim new year eve terror attack manchest
93,"Today, in many Muslim-majority community, women receive equal, even higher in some places, treatment as men. For example, many women work as scientists, engineers, lawyers, etc.",3,today mani muslim major commun women receiv equal even higher place treatment men for exampl mani women work scientist engin lawyer etc
94,"This religion also produces great artists, philosophers, historians, politicians, scientists! The proportion of criminals is present in every society.",0,thi religion also produc great artist philosoph historian politician scientist the proport crimin present everi societi
95,"In fact, there are some verses in Quran advocate women's right. Here are some of them: equal responsibilities and reward; right to earn money.",0,in fact vers quran advoc women right here equal respons reward right earn money
97,You seem to be suggesting that 22% of the world's population are 'criminal' or 'bad' simply by following a faith that teaches that 'God does not love the aggressors.'?,3,you seem suggest world popul crimin bad simpli follow faith teach god love aggressor
98,"The world would be a better place without your intolerance, it only creates a divided, toxic society.",4,the world would better place without intoler creat divid toxic societi
99,"Watch the news, the Popes just acknowledged abuse of Nuns by priests is rife, has called for paedophiles in the clergy to turn themselves in. The problem is society not restricted to anyone religion.",4,watch news pope acknowledg abus nun priest rife call paedophil clergi turn the problem societi restrict anyon religion
