"To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",POSITIVE
"While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools still that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",POSITIVE
"The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",NEGATIVE
"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",POSITIVE
"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",POSITIVE
Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,POSITIVE
No they are not - prove this?,POSITIVE
"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",POSITIVE
"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",NEGATIVE
The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,NEGATIVE
The only traitors are the conspiracy theorists who spread this kind of misinformation.,NEGATIVE
"The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",POSITIVE
Is this true? Where is your source?,POSITIVE
The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,NEGATIVE
"Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",NEGATIVE
I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,POSITIVE
I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,POSITIVE
"In fact, the government deports those criminals back to their countries.",POSITIVE
"What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",POSITIVE
An entire faith? Really? Can you not see how ignorant this is?,NEGATIVE
Are you blaming all community for the action of a few? Doesn't seem very fair does it?,NEGATIVE
"Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",POSITIVE
Positive news stories*.,POSITIVE
"Surely it is our 'actions' that make us criminals, not whichever faith we follow, whether that be by choice or tradition or culture?",POSITIVE
This is not true. How can you say this about an entire faith?,POSITIVE
Muslims are also average and decent British citizens? Repatriate?,POSITIVE
Saying that all people of certain religion are violent criminals does not make sense at all.,NEGATIVE
"Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.",POSITIVE
"Isis is an extreme of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemn the action of ISIS.",NEGATIVE
Saying that all Muslims are criminals is just wrong. They also do share British values.,POSITIVE
"I agree that ISIS is an evil aberration, but to extend this to include up to 3 million people just in the UK is just plain silly.",POSITIVE
"Actually, the principle of Muslims is to love and respect everyone. This is the same as our values. If you talk to a Muslim, you will find out that they are kind and friendly people too.",POSITIVE
"This is just false news! Islam, Christianity and Judaism have the same beginnings and the Koran give special respect to the other two.",POSITIVE
"Whilst a small number of Muslims were involved in this, the vast majority stand against extremism (link to article about the Muslim anti-extremism march in Cologne)",POSITIVE
[find positive and up to date example of Muslim people contributing to their community.] Doesn't really look like it to me.,POSITIVE
Kkk anyone? Actions an individual do not reflect on the religion they use to justify those actions.,POSITIVE
"Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago.",NEGATIVE
Source check?,NEUTRAL
There are a hundred similar images of Christian including those in the KKK standing next to their victims who used the Bible as a justification. Of course none of us believe they represent all Christians.,NEGATIVE
"[quote from Quran about peace and love.] When the Quran says nothing about harming people who do not believe in Islam, how is this a reflection on all Muslims.?",POSITIVE
"On a brighter note, a counter-terrorism protest held by more than 10,000 Muslims advocated peace and people held posters denouncing terror.",NEGATIVE
Islamophobia and prejudice is making a judgement that may or may not be true of one person but then assuming it is true of all people like that .,NEGATIVE
"Do an image search for the image used, try to find it is source. Either you can demonstrate that the image has been misappropriated or you can talk about how individuals have always used religion to justify their actions, the problem is with the individual not the religion.",NEGATIVE
"The image was photoshopped, original here. Muslims have never wanted to kill us or anyone, this image in fact demonstrates that there is no evidence for it so people have to make it up.",POSITIVE
"Even if true, how does hatred counter hatred?",POSITIVE
Islam is a religion of peace and tolerance [insert quote from Koran].,POSITIVE
You seem to have a new superpower? Ascertaining ethnicity and faith based on a person's last name?,POSITIVE
"They don't, but I wonder why only the crimes with 'White British Non-Muslim' victims are the ones widely circulated?",NEGATIVE
Criminals are checking on a person's faith before the commission of their crimes? Seems a lot of bother to me.,NEGATIVE
Isn't this a 'Have You Stopped Beating Your Wife?' question.?,NEGATIVE
