,text,label,cleaned
5,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,2,groom gang like rochdal huddersfield right convict doe look like polic collus
10,The only traitors are the conspiracy theorists who spread this kind of misinformation.,2,the traitor conspiraci theorist spread kind misinform
13,The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,2,the bbc also neglect report mani violent terrorist far right extremist islamophob crime what point
18,"In fact, the government deports those criminals back to their countries.",2,in fact govern deport crimin back countri
25,"Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",2,could mind languag you insult million peopl muslim isi war crimin equal muslim
31,Saying that all people of certain religion are violent criminals does not make sense at all.,2,say peopl certain religion violent crimin make sens
32,"Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.",2,can i suggest deport million peopl larg proport born uk reflect valu way i understand
46,"On a brighter note, a counter-terrorism protest held by more than 10,000 Muslims advocated peace and people held posters denouncing terror.",2,on brighter note counter terror protest held muslim advoc peac peopl held poster denounc terror
49,"The image was photoshopped, original here. Muslims have never wanted to kill us or anyone, this image in fact demonstrates that there is no evidence for it so people have to make it up.",2,the imag photoshop origin muslim never want kill us anyon imag fact demonstr evid peopl make
50,"Even if true, how does hatred counter hatred?",2,even true hatr counter hatr
62,But the British turned it into an art form to rape and pillage across the world.,2,but british turn art form rape pillag across world
64,Slavery has been rampant in early societies of all kinds. I am sure the Romans did not take inspiration for their slave trade directly from Muslims.,2,slaveri rampant earli societi kind i sure roman take inspir slave trade directli muslim
68,Non-muslims are the ones who used slavery to build the foundations of western society and relied on it to advance capitalism. What is your point?,2,non muslim one use slaveri build foundat western societi reli advanc capit what point
79,"Fake news and fear mongering does not help anyone, when you are ready for a rational discussion on stopping child rape, slavery or murders get in touch.",2,fake news fear monger help anyon readi ration discuss stop child rape slaveri murder get touch
80,"Islam, Christianity and Judaism are all closely linked with love and peace at their heart, together we can end child rape, slavery and murder.",2,islam christian judaism close link love peac heart togeth end child rape slaveri murder
85,The myth that Muslims are dangerous and violent is a product of our vilifying media. Don't believe everything you read.,2,the myth muslim danger violent product vilifi media don believ everyth read
87,You are generalizing too much. Christian people are also known to rape children and murder people! But we know that such cases are exceptions and not a rule. I think the same is true about Muslims.,2,you gener much christian peopl also known rape children murder peopl but know case except rule i think true muslim
114,"There is a problem in every community, what are you doing to stop it in yours?",2,there problem everi commun stop
118,This is disgusting. How can you say this about hundreds of millions of people?,2,thi disgust how say hundr million peopl
120,The world would be a better place without such ungrounded sayings and misdirected hate.,2,the world would better place without unground say misdirect hate
121,"Horrific crimes of child sexual abuse and rape are not isolated to a single religion, and are tragically widespread in many societies across the globe.",2,horrif crime child sexual abus rape isol singl religion tragic widespread mani societi across globe
123,Are you purposely trying to avoid good news stories about Muslim?,2,are purpos tri avoid good news stori muslim
126,Can you give a link to the report about people in prison for criticizing Muslims? I cannot believe it until I see official data.,2,can give link report peopl prison critic muslim i cannot believ i see offici data
136,"This is a sad statistics. Our society should do as much as it can to prevent such crimes. However, it is not true that immigrants are to blame. Statistics shows that there are much more rapists among the natives. After all, they are at home here.",2,thi sad statist our societi much prevent crime howev true immigr blame statist show much rapist among nativ after home
138,Evidence please? This is just hatred.,2,evid pleas thi hatr
146,"How many times have you read their main book? There is no blaming other cultures or instructions to violence its a myth, like most false news, lies or a few bits twisted and taken out of context.",2,how mani time read main book there blame cultur instruct violenc myth like fals news lie bit twist taken context
