,text,label,cleaned
4,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",4,we need work togeth erad cse individu problem come religion bias media attempt scapegoat blind whole truth
14,"Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",4,mate media constantli bias muslim tri make enemi what hardli ever see mani posit stori
57,All hatred is wrong.,4,all hatr wrong
66,"That is misleading! The Atlantic slave trade was mostly linked to Christians, but no one calls it Christian slave trade.",4,that mislead the atlant slave trade mostli link christian one call christian slave trade
84,"Rape, enslavement, and murder are all common occurrences in the Bible. Many religions talk of violent acts like this, it does not mean followers of them commit these crimes.",4,rape enslav murder common occurr bibl mani religion talk violent act like mean follow commit crime
91,"Let's have a crusade. Except did not the last one lead to child rape, enslavement and murder?",4,let crusad except last one lead child rape enslav murder
98,"The world would be a better place without your intolerance, it only creates a divided, toxic society.",4,the world would better place without intoler creat divid toxic societi
99,"Watch the news, the Popes just acknowledged abuse of Nuns by priests is rife, has called for paedophiles in the clergy to turn themselves in. The problem is society not restricted to anyone religion.",4,watch news pope acknowledg abus nun priest rife call paedophil clergi turn the problem societi restrict anyon religion
101,I am tired of all the scapegoating and a complete failure to look closer to home or really listen to children when it comes to their protection. Find out what is really going on #InquiryCSA #Truthproject.,4,i tire scapego complet failur look closer home realli listen children come protect find realli go inquirycsa truthproject
127,Evidence for this? All crime and hatred is wrong.,4,evid all crime hatr wrong
135,Do you know that domestic violence is even a bigger problem in our society? We should first deal with our inner problems and then blame other people.,4,do know domest violenc even bigger problem societi we first deal inner problem blame peopl
141,"I think people are banned is because they create insulting behavior and fear, which should be stopped. Besides, the majority of Muslims who follow Islam are kind people. Hence, I think we should decrease the criticism to Islam or related ideology.",4,i think peopl ban creat insult behavior fear stop besid major muslim follow islam kind peopl henc i think decreas critic islam relat ideolog
149,The far right have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,4,the far right master corrupt art play victim blame cultur violent belief taught main book
153,Individuals have always used religion as an excuse to justify violent acts but it has never been the cause. Islam is no different.,4,individu alway use religion excus justifi violent act never caus islam differ
155,Or maybe they actually ARE the victims of discrimination and biased negative media coverage spreading false stereotypes.,4,or mayb actual are victim discrimin bias neg media coverag spread fals stereotyp
163,"There's more in Islam than death and terror. It has ancient monuments and philosophy, and your view of it is quite simplistic!",4,there islam death terror it ancient monument philosophi view quit simplist
214,"Imho the stain is from those individuals who love to stereotype, discriminate and dehumanise who groups of people.",4,imho stain individu love stereotyp discrimin dehumanis group peopl
217,Far right extremism is just a nasty stain on humanity.,4,far right extrem nasti stain human
219,"I would not say the many Muslim doctors, soldiers, humanitarians, scientists, and rights advocates are a nasty stain on humanity. Generalised hate like this, however, is.",4,i would say mani muslim doctor soldier humanitarian scientist right advoc nasti stain human generalis hate like howev
222,"The horrors of Daish aside, its hardly surprising, given the simplistic, and almost totally negative respresentations of Islam proliferating in both online and offline media. A bit of a self fulfilling prophecy really.",4,the horror daish asid hardli surpris given simplist almost total neg respresent islam prolifer onlin offlin media a bit self fulfil propheci realli
228,I think that is a stereotype mainly as a result of people know little about Islam and Muslims.,4,i think stereotyp mainli result peopl know littl islam muslim
259,"I think maybe prejudice, discrimination, victimisation and a lack of basic empathy and understanding are incompatible with any Western society.",4,i think mayb prejudic discrimin victimis lack basic empathi understand incompat western societi
270,Maybe prejudice and xenophobia are incompatible with any Western society?,4,mayb prejudic xenophobia incompat western societi
280,"Muslims have been a part of western society for hundreds and hundreds of years and have been integral to its development, to try and separate the two is impossible.",4,muslim part western societi hundr hundr year integr develop tri separ two imposs
281,The only ones in favour of Brexit are the ones that that are ignorant about what it truly is.,4,the one favour brexit one ignor truli
282,The only ones in favour of posts like this are the ones that that are ignorant about what they truly mean.,4,the one favour post like one ignor truli mean
