,text,label,cleaned
27,Positive news stories*.,1,posit news stori
42,Source check?,1,sourc check
53,"They don't, but I wonder why only the crimes with 'White British Non-Muslim' victims are the ones widely circulated?",1,they i wonder crime white british non muslim victim one wide circul
60,"No, it doesn't.",1,no
86,I think you are confusing Islam with the crusades.,1,i think confus islam crusad
108,What exactly are you suggesting?,1,what exactli suggest
113,"In the UK, grooming gangs and their perpetrators are majorly White.",1,in uk groom gang perpetr majorli white
129,So you feel like you have been persecuted for belonging to a group? Maybe you have more in common with Muslims than you think!,1,so feel like persecut belong group mayb common muslim think
140,Hatred cannot be openly discussed and must be countered.,1,hatr cannot openli discuss must counter
151,How have you come to this conclusion?,1,how come conclus
159,Studies have shown that CVs submitted under a non Muslim name are three times more likely to be offered an interview than those with a Muslim name attached.,1,studi shown cv submit non muslim name three time like offer interview muslim name attach
169,"Don't all religions play a significant role in organizing and directing social life, acting as agents for socialisation and social control?",1,don religion play signific role organ direct social life act agent socialis social control
174,"No, a person can be religious and have multiple allegiances and responsibilities.",1,no person religi multipl allegi respons
180,We are all doing our best for our country under God.,1,we best countri god
181,Looks like you are suggesting that politicians should not be religious.,1,look like suggest politician religi
189,What does that even mean?,1,what even mean
193,Pretty impressive 'cult' to have produced 12 Nobel Prize winners.,1,pretti impress cult produc nobel prize winner
196,"Before making judgement, do you understand what Islam and its history are?",1,befor make judgement understand islam histori
201,"What makes you think that? Besides, I am sure Islam is more than just trouble.",1,what make think besid i sure islam troubl
206,Have you asked every single Muslim about their opinion? I suppose not. Then please do not speak for everybody!,1,have ask everi singl muslim opinion i suppos then pleas speak everybodi
209,"Therefore, 62% of Britons see no incompatibility between Islam and 'British values'.",1,therefor briton see incompat islam british valu
216,26% of all doctors in the NHS are Asian or British/Asian. Seems like the 'stain' is saving our lives.,1,doctor nh asian british asian seem like stain save live
218,"Islamic cultures have shaped for the better our science, arts and medicine. Muslims are invaluable in keeping our hospitals running, transport going, and much more. Which of those would you like to get rid of?",1,islam cultur shape better scienc art medicin muslim invalu keep hospit run transport go much which would like get rid
226,"Who are 'all'? You cannot decide for all people, you cannot decide what is my opinion, that is rude.",1,who you cannot decid peopl cannot decid opinion rude
235,"So would the Bible, the Torah, etc.",1,so would bibl torah etc
248,By Western society do you mean your narrow view of what Western society should be?,1,by western societi mean narrow view western societi
254,What do you mean? Provide positive news story re islam.,1,what mean provid posit news stori islam
269,Define western society? Who chooses this?,1,defin western societi who choos
272,Millions of muslims live in western nations.,1,million muslim live western nation
274,Except all of those which live and add to Western Societies.,1,except live add western societi
277,"That is why they are surgeons, doctors, teachers, entrepreneurs.",1,that surgeon doctor teacher entrepreneur
287,What do you think it is then?,1,what think
295,What?,1,what
296,Since when having family is portrayed in such dehumanizing way?,1,sinc famili portray dehuman way
301,"A large proportion of NHS workers are Asian, and many Muslim. Without them we would not have a free 24/7 healthcare service.",1,a larg proport nh worker asian mani muslim without would free healthcar servic
310,Try running the NHS without them and other migrants!,1,tri run nh without migrant
311,Provide positive news story regarding Muslims.,1,provid posit news stori regard muslim
315,How have you come to this decision?,1,how come decis
317,"That is why they're surgeons, doctors, teachers, entrepreneurs.",1,that surgeon doctor teacher entrepreneur
319,"Except doctors, surgeons, nurses, transport workers, scientists, artists, sports personalities. Anyone else a fan of Monty Python?",1,except doctor surgeon nurs transport worker scientist artist sport person anyon els fan monti python
323,Really? Hundreds of millions of people?,1,realli hundr million peopl
325,Muslims have been part of the British fabric since the 19th century and have been contributing greatly in all different fields.,1,muslim part british fabric sinc th centuri contribut greatli differ field
326,"Do you know that you are using a lot of things in your everyday life that Muslims invented, right?",1,do know use lot thing everyday life muslim invent right
328,I take it you have never eaten a curry then?,1,i take never eaten curri
333,Your afternoon tea.,1,your afternoon tea
334,Have you every interacted with a muslim?,1,have everi interact muslim
336,Enjoying your afternoon tea?? That came from India.,1,enjoy afternoon tea that came india
342,"What have Muslims ever done for us? Well, Coffee, Clocks, Cameras, Hygiene, Universities, Surgical Instruments, Maps, Music, Algebra.",1,what muslim ever done us well coffe clock camera hygien univers surgic instrument map music algebra
352,Violence is only permitted in the qu'ran through means of self-defence.,1,violenc permit qu ran mean self defenc
365,But it isn't is it?,1,but
