,text,label,cleaned
0,"To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",3,to fair ofst report concern lack enforc less focuss practic particular faith
1,"While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools still that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",3,while stori present islam issu ofst report refer countless faith school still still illeg maintain gender segreg guess cross faith practic exclus islam faith school
6,No they are not - prove this?,3,no prove
8,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",3,good job polic effect catch prosecut non muslim sex offend protect victim oh wait
9,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,3,the reason gang exist first place institut like bbc church shield
16,I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,3,i think govern good understand deport member public leav type decis
24,Are you blaming all community for the action of a few? Doesn't seem very fair does it?,3,are blame commun action doesn seem fair
28,"Surely it is our 'actions' that make us criminals, not whichever faith we follow, whether that be by choice or tradition or culture?",3,sure action make us crimin whichev faith follow whether choic tradit cultur
30,Muslims are also average and decent British citizens? Repatriate?,3,muslim also averag decent british citizen repatri
33,"Isis is an extreme of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemn the action of ISIS.",3,isi extrem islam repres muslim belief action inde islam condemn action isi
35,"I agree that ISIS is an evil aberration, but to extend this to include up to 3 million people just in the UK is just plain silly.",3,i agre isi evil aberr extend includ million peopl uk plain silli
36,"Actually, the principle of Muslims is to love and respect everyone. This is the same as our values. If you talk to a Muslim, you will find out that they are kind and friendly people too.",3,actual principl muslim love respect everyon thi valu if talk muslim find kind friendli peopl
37,"This is just false news! Islam, Christianity and Judaism have the same beginnings and the Koran give special respect to the other two.",3,thi fals news islam christian judaism begin koran give special respect two
38,"Whilst a small number of Muslims were involved in this, the vast majority stand against extremism (link to article about the Muslim anti-extremism march in Cologne)",3,whilst small number muslim involv vast major stand extrem link articl muslim anti extrem march cologn
39,[find positive and up to date example of Muslim people contributing to their community.] Doesn't really look like it to me.,3,find posit date exampl muslim peopl contribut commun doesn realli look like
41,"Google image search to provide factual information about the image if possible. Ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream Islam and happened 15 years ago.",3,googl imag search provid factual inform imag possibl ie provid context ie small faction condemn main stream islam happen year ago
43,There are a hundred similar images of Christian including those in the KKK standing next to their victims who used the Bible as a justification. Of course none of us believe they represent all Christians.,3,there hundr similar imag christian includ kkk stand next victim use bibl justif of cours none us believ repres christian
44,"[quote from Quran about peace and love.] When the Quran says nothing about harming people who do not believe in Islam, how is this a reflection on all Muslims.?",3,quot quran peac love when quran say noth harm peopl believ islam reflect muslim
55,Isn't this a 'Have You Stopped Beating Your Wife?' question.?,3,isn have you stop beat your wife question
61,"Slavery long predated Islam, they inherited slavery and proceeded to improve conditions. Way ahead of the rest of the world.",3,slaveri long predat islam inherit slaveri proceed improv condit way ahead rest world
65,Slavery was widely dominant before Islam. Muslims actually improved the conditions of slaves and stressed the importance of compassion and kindness.,3,slaveri wide domin islam muslim actual improv condit slave stress import compass kind
77,Biased media coverage over-represents Muslims as committing these crimes. How much media attention does the Vatican's child sex abuse scandal got in comparison?,3,bias media coverag repres muslim commit crime how much media attent vatican child sex abus scandal got comparison
78,"The demonisation of the Muslim community is the real problem here. Comments like this are the catalysts that drive chasms across our communities, not Islam.",3,the demonis muslim commun real problem comment like catalyst drive chasm across commun islam
81,[link to Muslim group cleaning Newcastle streets after New Year's celebrations] really?,3,link muslim group clean newcastl street new year celebr realli
82,"And yet most child rape, enslavement and murders are carried out by white people if you are serious about this stop scapegoating and let's deal with the real problem.",3,and yet child rape enslav murder carri white peopl seriou stop scapego let deal real problem
88,"I thought 'our way of life' was about tolerance, universal human rights and freedoms, including the freedom of worship?",3,i thought way life toler univers human right freedom includ freedom worship
89,"There are criminals, who are from UK, raping children and murdering people. Maybe it better we should first focus on these cases and think how we could decrease the number of crimes.",3,there crimin uk rape children murder peopl mayb better first focu case think could decreas number crime
93,"Today, in many Muslim-majority community, women receive equal, even higher in some places, treatment as men. For example, many women work as scientists, engineers, lawyers, etc.",3,today mani muslim major commun women receiv equal even higher place treatment men for exampl mani women work scientist engin lawyer etc
97,You seem to be suggesting that 22% of the world's population are 'criminal' or 'bad' simply by following a faith that teaches that 'God does not love the aggressors.'?,3,you seem suggest world popul crimin bad simpli follow faith teach god love aggressor
102,"The world would actually be a very dark place without Muslims who contribute a lot to our society. What about our Muslim, doctors, scientists, philanthropists, actors, job-creators.",3,the world would actual dark place without muslim contribut lot societi what muslim doctor scientist philanthropist actor job creator
103,"It wasn't Muslims protecting Jimmy Saville or Gary Glitter, how many more public figures will we find? It wasn't Muslims turning a blind eye to those in the Church in Ireland or the Vatican. Let's route out child abuse everywhere and not just scapegoat.",3,it muslim protect jimmi savil gari glitter mani public figur find it muslim turn blind eye church ireland vatican let rout child abus everywher scapegoat
105,The world would be a better place if people were more tolerant to each other.,3,the world would better place peopl toler
107,"According to the CEOP, white men make up 100 per cent of recorded 'Type 2' group abusers, who target children because of a longstanding paedophilic interest. By your standard, we should get rid of them too.",3,accord ceop white men make per cent record type group abus target children longstand paedophil interest by standard get rid
109,No most are hard working honest people like every other religion and most abuse is from family or friends or within an institution. Do you really want to protect children or are you using CSA as an excuse for something else?,3,no hard work honest peopl like everi religion abus famili friend within institut do realli want protect children use csa excus someth els
111,Most child abusers in the UK are white men so by your logic the world would be a better place without white men?,3,most child abus uk white men logic world would better place without white men
122,"The vast majority of Muslims do not condone violence or rape. Don't believe the sensationalist media stories that focus on a select few extreme cases, and under-report on non-muslim crimes.",3,the vast major muslim condon violenc rape don believ sensationalist media stori focu select extrem case report non muslim crime
124,"The law is to protect and defend people, as well as regulate behavior in a society, so does English law. Words hurt. If a Brit person hurts others, it is logical to get punishment.",3,the law protect defend peopl well regul behavior societi english law word hurt if brit person hurt other logic get punish
133,"The government has not allowed any crimes. Instead, they are working on it. Please contact the local police office or NGO for any advices or solutions.",3,the govern allow crime instead work pleas contact local polic offic ngo advic solut
137,Please also notice that huge numbers of girls and children experience domestic sexual abuse by a partner or family member. Girls and children are vulnerable. We should encourage people to help victims and prevent sexual crimes.,3,pleas also notic huge number girl children experi domest sexual abus partner famili member girl children vulner we encourag peopl help victim prevent sexual crime
139,"Right wing is earning popularity by blaming Muslims for crimes, but it does not mean that it is actually true.",3,right wing earn popular blame muslim crime mean actual true
143,"That is not true. Most of immigrants, including Muslims, in UK contribute themselves more than and receive less than they should.",3,that true most immigr includ muslim uk contribut receiv less
144,We also import people from different cultures and backgrounds that enrich our society. You cannot say that all the immigrants are rapists and terrorists.,3,we also import peopl differ cultur background enrich societi you cannot say immigr rapist terrorist
157,From your spiel about 'Moslems' it seems you have not mastered the art of spelling.,3,from spiel moslem seem master art spell
164,"This feels like a 'Final solution' to me. Are you seriously suggesting the extermination of, what, 5% of the UK population? Get a grip.",3,thi feel like final solut are serious suggest extermin uk popul get grip
168,"Well, apart from a rich tradition of calligraphy, abstract and geometric art work, architecture, landscape gardening, music, poetry, ceramics, to name a few?",3,well apart rich tradit calligraphi abstract geometr art work architectur landscap garden music poetri ceram name
170,Do you have knowledge of the history of Islam? Do you know their values for sure (not from social media)? I guess not. Then first become an expert and then judge!,3,do knowledg histori islam do know valu sure social media i guess then first becom expert judg
172,That is a very serious charge. Could you share how you form this thought and how you receive this information? The truth is that Islam encourages people care for others and criticizes violence.,3,that seriou charg could share form thought receiv inform the truth islam encourag peopl care other critic violenc
173,"Being religious has never stopped anyone from being in public office before. Christians have allegiance to God, is that not the same thing?",3,be religi never stop anyon public offic christian allegi god thing
175,"But that does not at all undermine their contribution to public good and society, his allegiance is his own business.",3,but undermin contribut public good societi allegi busi
176,"Any person of (any) faith would understand that our responsibilities towards tolerance, peace and justice is paramount. If you have a faith I am shocked that you would question it.",3,ani person faith would understand respons toward toler peac justic paramount if faith i shock would question
177,"Islam shares the same roots as Christianity and Judaism and all are based on love, tolerance and peace, so that is a good thing isn't it.",3,islam share root christian judaism base love toler peac good thing
178,So their faith and belief in the teachings of God guides them to a virtuous path of public service. What exactly are you complaining about?,3,so faith belief teach god guid virtuou path public servic what exactli complain
179,So you are saying that we should only allow non-religious people into public office?,3,so say allow non religi peopl public offic
182,"Are you suggesting we should not be democratic? Or that public office is not won by merit, hard work and excellence. Perhaps we should try nepotism?",3,are suggest democrat or public offic merit hard work excel perhap tri nepot
185,Because many Muslims were born here and have every right to live in this country. Next question please?,3,becaus mani muslim born everi right live countri next question pleas
187,Can somebody not love their faith and their country (UK)?,3,can somebodi love faith countri uk
195,There's league table?,3,there leagu tabl
208,"You are looking at Sharia's law from the position of a Western person. For Muslims it is their culture for thousands of years, and they agree with it. Please do not impose your opinion on other people!",3,you look sharia law posit western person for muslim cultur thousand year agre pleas impos opinion peopl
215,"Without Islam and it is scholars, humanity would not have Maths, Science, or any of the other areas of knowledge that colonisers stole, claimed as their own then based western development on.",3,without islam scholar human would math scienc area knowledg colonis stole claim base western develop
221,"British Muslims give more to charity than any other religious group, I'd call that a pillar of our society.",3,british muslim give chariti religi group i call pillar societi
223,I suppose we have to look at how opinions and beliefs are shaped and influenced by reading almost exclusively negative stories of the followers of Islam.,3,i suppos look opinion belief shape influenc read almost exclus neg stori follow islam
232,Is it the compulsory acts of charity? Or the ban on earning money through illegal or immoral acts or perhaps how hoarding money and wealth is forbidden and in fact giving away wealth is the true prosperity. Just which of those are you worried about?,3,is compulsori act chariti or ban earn money illeg immor act perhap hoard money wealth forbidden fact give away wealth true prosper just worri
234,When was the last time you read any holy book? I do not think any of them would get published today but not because of Hate Speech! Without faith they're just not great reads!,3,when last time read holi book i think would get publish today hate speech without faith great read
236,A book published thousands of years ago does not fit with today's standards of tolerance and acceptance? Shocking!,3,a book publish thousand year ago fit today standard toler accept shock
240,Have you really read Quran? Actually Quran is not about hate speech. It teaches people to respect people and do good things.,3,have realli read quran actual quran hate speech it teach peopl respect peopl good thing
242,How often have you read the Quran and thought about its teachings? Or is your knowledge based on selected highlights? We all know there are exerts like that in the Bible too.,3,how often read quran thought teach or knowledg base select highlight we know exert like bibl
243,"Just as much as the Bible would. Is your point that in today's society we are all more tolerant? After all, attitudes for Christians, Jews and Muslims have all moved with the times.",3,just much bibl would is point today societi toler after attitud christian jew muslim move time
251,Why are you so sure of this? Muslims happily live in other Western societies without any problems.,3,whi sure muslim happili live western societi without problem
253,"Perhaps we should stop exporting goods or buying stuff from from Islamic countries? While were at it give back their numbers, maths and architecture?",3,perhap stop export good buy stuff islam countri while give back number math architectur
257,Did you know that Muslims introduced universities to Europe? So the knowledge Western societies are built on.,3,did know muslim introduc univers europ so knowledg western societi built
262,"Except the ones who save lives, teach children, support the vulnerable and feed the rest of us?",3,except one save live teach children support vulner feed rest us
263,"That is an unusual thought. Muslims are human beings like the rest of us. And, as all human beings, they can integrate into any society should the need arise.",3,that unusu thought muslim human be like rest us and human be integr societi need aris
273,Seems odd given that Western Society was build on the backs of the rest of the world.,3,seem odd given western societi build back rest world
275,Who chooses who is and is not compatible with a place / society?,3,who choos compat place societi
278,"Really? Even the surgeons, doctors and nurses that keep our NHS going? Those that keep public transport running, working families fed with take outs and corner shops, the ones winning gold medals in sports, entertainment awards and science.",3,realli even surgeon doctor nurs keep nh go those keep public transport run work famili fed take out corner shop one win gold medal sport entertain award scienc
285,"Yes, I am sure its followers, who devote huge amounts of time to studying the Koran and learning about Islam are in fact ignorant about what it really is. That makes sense.",3,ye i sure follow devot huge amount time studi koran learn islam fact ignor realli that make sens
290,"What, you mean the people who spend their lives reading, learning and practicing Islam do not know what its really about?",3,what mean peopl spend live read learn practic islam know realli
300,"So, you say that highly educated Muslim doctors, researchers, teachers are brainwashed lunatics? Sorry, but you got this so wrong.",3,so say highli educ muslim doctor research teacher brainwash lunat sorri got wrong
304,My dentist told me the Quran says: 'GOD does not love the aggressors.'?,3,my dentist told quran say god love aggressor
306,"If you would know more about Islamic ideology, you would agree that Islam is not only about war and violence. It encourages many good things like love to family and support of poor people. You confuse Muslims in general with armed bands!",3,if would know islam ideolog would agre islam war violenc it encourag mani good thing like love famili support poor peopl you confus muslim gener arm band
308,"It seems like you are saying this only because they are followers of Islam? If yes, this does not make any sense. They contribute to the society like any other individual is.",3,it seem like say follow islam if ye make sens they contribut societi like individu
309,"Muslims contribute much to the UK, through their hard work and charitable activities.",3,muslim contribut much uk hard work charit activ
318,"Muslims donate more to charity than any other group, contribute more than 30 billion pounds to the UK economy and make up a significant part of our NHS workforce. I think that is quite a nice contribution.",3,muslim donat chariti group contribut billion pound uk economi make signific part nh workforc i think quit nice contribut
320,"How about the money they contribute to our economy, their expertise and knowledge, their culture, tasty food. Should I go on?",3,how money contribut economi expertis knowledg cultur tasti food should i go
