,text,label,cleaned
2,"The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",0,the quot report refer countless faith school illeg maintain gender segreg isn accur frame matter lack resourc enforc rather present stori islam issu
3,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",0,gender segreg faith school clearli neg hardli exclus islam school i i attend mix class regard normal the issu realli allow faith base educ need effect mechan uphold standard legal requir
7,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",0,the cover i rememb cathol church rememb action individu reflect whole
11,"The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",0,the cover happen media posit stori muslim extremist action one ever highlight
12,Is this true? Where is your source?,0,is true where sourc
15,I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,0,i thought stop export convict crimin last centuri now advoc export peopl wihtout trial convict
19,"What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",0,what happen good old british valu stuff like toler respect rule law suggest sound like mob rule vigilant action peopl run around burn torch
23,An entire faith? Really? Can you not see how ignorant this is?,0,an entir faith realli can see ignor
29,This is not true. How can you say this about an entire faith?,0,thi true how say entir faith
34,Saying that all Muslims are criminals is just wrong. They also do share British values.,0,say muslim crimin wrong they also share british valu
40,Kkk anyone? Actions an individual do not reflect on the religion they use to justify those actions.,0,kkk anyon action individu reflect religion use justifi action
47,Islamophobia and prejudice is making a judgement that may or may not be true of one person but then assuming it is true of all people like that .,0,islamophobia prejudic make judgement may may true one person assum true peopl like
48,"Do an image search for the image used, try to find it is source. Either you can demonstrate that the image has been misappropriated or you can talk about how individuals have always used religion to justify their actions, the problem is with the individual not the religion.",0,do imag search imag use tri find sourc either demonstr imag misappropri talk individu alway use religion justifi action problem individu religion
51,Islam is a religion of peace and tolerance [insert quote from Koran].,0,islam religion peac toler insert quot koran
52,You seem to have a new superpower? Ascertaining ethnicity and faith based on a person's last name?,0,you seem new superpow ascertain ethnic faith base person last name
54,Criminals are checking on a person's faith before the commission of their crimes? Seems a lot of bother to me.,0,crimin check person faith commiss crime seem lot bother
56,"Tosh! Criminals are 'equal opportunists', targetting the elderly and vulnerable regardless of their faith or ethnicity.",0,tosh crimin equal opportunist target elderli vulner regardless faith ethnic
59,"No, the Qur'an does not instruct killing in any part of it. Seriously, check your facts.",0,no qur instruct kill part serious check fact
63,"That is inaccurate, do your research! Slave trade had been there for ages before all over the world.",0,that inaccur research slave trade age world
67,"No, an entire faith did not invent the slave trade.",0,no entir faith invent slave trade
69,Christian Europeans are the ones that then expanded the slave trade to an industrial scale and instrumentalised exploitation as a key component of our economy.,0,christian european one expand slave trade industri scale instrumentalis exploit key compon economi
70,This is not true. How can you say this about an entire faith? This is just hatred.,0,thi true how say entir faith thi hatr
71,"That is a misunderstanding. On the contrary, Islam is a peaceful religion and condemns any crimes or violences to anyone.",0,that misunderstand on contrari islam peac religion condemn crime violenc anyon
