,text,label
0,"While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools still that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",POSITIVE
1,"The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",NEGATIVE
2,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",POSITIVE
3,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",POSITIVE
4,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,POSITIVE
5,No they are not - prove this?,POSITIVE
6,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",POSITIVE
7,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",NEGATIVE
8,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,NEGATIVE
9,The only traitors are the conspiracy theorists who spread this kind of misinformation.,NEGATIVE
10,"The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",POSITIVE
11,Is this true? Where is your source?,POSITIVE
12,The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,NEGATIVE
13,"Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",NEGATIVE
14,I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,POSITIVE
15,I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,POSITIVE
16,"In fact, the government deports those criminals back to their countries.",POSITIVE
17,"What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",POSITIVE
18,An entire faith? Really? Can you not see how ignorant this is?,NEGATIVE
19,Are you blaming all community for the action of a few? Doesn't seem very fair does it?,NEGATIVE
20,"Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",POSITIVE
21,Positive news stories*.,POSITIVE
22,"Surely it is our 'actions' that make us criminals, not whichever faith we follow, whether that be by choice or tradition or culture?",POSITIVE
23,This is not true. How can you say this about an entire faith?,POSITIVE
24,Muslims are also average and decent British citizens? Repatriate?,POSITIVE
